cluster_id,date,time,sender,sender_type,message_type,content,themes
1,05/06/26,14:58,Aarushi,Admin,media,[image],CLDP Programme Engagement
2,11/06/26,11:02,~ Sekhar,Participant,media,"[10 media items: videos and images — no accompanying text]",General/Other
3,11/06/26,11:34,~ 🅰️🅼🅸🆈🅰️ 🅼🅾️🅷🅰️🅽🆃🆈,Participant,text,"Words cannot express how sorry I am. Sharmistha bhauja was an amazing person, and I feel so lucky to have known them. I'm here to support you through this difficult time. God bless her soul 🙏",General/Other
4,11/06/26,11:45,~ SureshKumar,Participant,text,Rip,General/Other
5,11/06/26,11:48,~ Anamika,Participant,text,Om shanti.,General/Other
6,11/06/26,12:29,~ Anil,Participant,text,Om Shanthi 💐🙏,General/Other
7,11/06/26,12:36,~ rina das 4922,Participant,text,Om Shanti,General/Other
8,11/06/26,13:47,~ Pankaj Mishra,Participant,text,"Bahut hi Dukhad Om Shanti. Prabhu apne Sri charno me sthan pradan kare om shanti 😭",General/Other
9,12/06/26,13:21,Aarushi,Admin,media+text,"[image] + QUIZ POLL: When a councillor faces a long list of citizen demands but has a limited budget, what is the best practice for the 'Prioritization of Projects' step? — A: 0 votes / B: 3 votes / C: 0 votes / D: 0 votes",CLDP Programme Engagement
10,13/06/26,15:43,~ sekhar,Participant,media,[image — no accompanying text],General/Other
11,18/06/26,16:58,Aarushi,Admin,text,"Correct answer ✅: B. Categorizing needs into short and long-term goals while aligning them with existing government schemes.",CLDP Programme Engagement
12,18/06/26,20:04,~ Umang,Participant,text,Om Shanti 🙏,General/Other
13,19/06/26,13:16,Aarushi,Admin,media+text,"[image] + Dear Leaders 🙏 we all know that our wards have many needs, but resources are often limited. If you could pick just ONE priority raised by your citizens today to be guaranteed a spot in the next City Action Plan, what would it be, and what is the biggest hurdle you face in making sure the city administration hears that specific need?",CLDP Programme Engagement
14,23/06/26,13:02,~ Sekhar,Participant,media,[image — no accompanying text],General/Other
