#,Date,Time,Sender,Sender type,Message type,Media count,Theme(s),Text content
1,16/10/25,1:47 pm,Mehak Janaagraha,Janagraha,text,0,CLDP Programme Engagement,Greetings to all councillors\! Thank you for attending the capacity building workshop. Sharing the workshop photo link here.
2,16/10/25,2:23 pm,+XX XXXXX X8058,Councillor,text,0,CLDP Programme Engagement,Link is not working
3,16/10/25,2:28 pm,+XX XXXXX X3538,Councillor,text,0,CLDP Programme Engagement,Mam photo link nahi aaya / Link is not working
4,16/10/25,2:43 pm,+XX XXXXX X0519,Councillor,text,0,CLDP Programme Engagement,"Mam, the budget list has not been received yet. We are all waiting."
5,16/10/25,3:02 pm,+XX XXXXX X8058,Councillor,text,0,CLDP Programme Engagement,The scheme list has also not come yet.
6,16/10/25,3:06 pm,Mehak Janaagraha,Janagraha,text,0,CLDP Programme Engagement,[Resent Google Drive link]
7,16/10/25,3:30 pm,+XX XXXXX X3538,Councillor,text,0,CLDP Programme Engagement,"Mam, the budget list has still not been received. The scheme list has also not come."
8,01/01/26,10:27 am,+XX XXXXX X0519,Councillor,text,0,Greetings & Celebrations,Heartfelt New Year greetings to you and your entire family. Kamalavati Devi Ward 23 Madhavpuram
9,01/01/26,10:36 am,Mehak Janaagraha,Janagraha,text,0,Greetings & Celebrations,Heartfelt New Year greetings to all Nikaay representatives and their families\!
10,01/01/26,11:52 am,+XX XXXXX X4194,Councillor,text,0,Greetings & Celebrations,Wish you all a very happy new year
11,01/01/26,3:27 pm,Sarita,Councillor,media,1,Greetings & Celebrations,
12,01/01/26,3:37 pm,+XX XXXXX X4194,Councillor,text,0,Greetings & Celebrations,Thank you
13,01/01/26,5:16 pm,Pushpa,Councillor,text,0,spam,Forwarded scam message: fake special surprise message link. Excluded from all analysis.
14,26/01/26,3:55 pm,shinjini,Janagraha,media,1,Greetings & Celebrations,[Republic Day image IMG-XXXX0126-WA0036.jpg]
15,26/01/26,4:17 pm,+XX XXXXX X4194,Councillor,text,0,Greetings & Celebrations,Happy Republic Day to all
16,26/01/26,8:19 pm,+XX XXXXX X3863,Councillor,text,0,Greetings & Celebrations,Thanks same to you
17,26/01/26,8:27 pm,Pushpa,Councillor,text,0,Greetings & Celebrations,Good sir
18,02/02/26,3:48 pm,Mehak Janaagraha,Janagraha,media+text,1,CLDP Programme Engagement,Union Budget 2026-27: Focus on Tier-2/3 cities [Hindustan Times article]. Union budget mein tier-2 aur tier-3 nagaron ko kya mila?
19,02/02/26,6:28 pm,Mehak Janaagraha,Janagraha,text,0,CLDP Programme Engagement,POLL: By how much has the XVI Finance Commission increased the untied grant from 21%? 45% (2 votes) / 52% (1 vote) / 30% (0) / 35% (0)
20,04/02/26,12:17 pm,Mehak Janaagraha,Janagraha,media+text,1,CLDP Programme Engagement,"Answer: 52%. Document analyses the Rs 3.56 lakh crore XVI FC grant for Urban Local Bodies, a 230% increase. [PDF: Janaagraha on XVI FC Grants]"
