Cluster,Date,Time,Sender,Sender Type,Message Type,Theme,Message (English)
1,09/01/26,7:23 PM,~ Anima das,Councillor,text,CLDP Programme Engagement,"Send the photo."
2,09/01/26,7:26 PM,Himanga Gogoi @ Jana,Janaagraha admin,media+text,CLDP Programme Engagement,"Shared a batch of programme photos; ""I'll share all the photographer's photos in this group once we get them."""
3,09/01/26,7:41 PM,~ Anima das,Councillor,text,CLDP Programme Engagement,"OK, I'm from Raha Municipal Board."
4,13/01/26,10:01 AM,Himanga Gogoi @ Jana,Janaagraha admin,text,CLDP Programme Engagement,"Google Drive link shared; ""You'll find the photos of your programme here."""
5,13/01/26,10:02 AM,~ preetybordoloi38427,Councillor,text,CLDP Programme Engagement,"Thank you"
6,14/01/26,11:41 AM,Himanga Gogoi @ Jana,Janaagraha admin,media,CLDP Programme Engagement,"Shared two PDFs: CLDP Presentation_Organogram and List of schemes for Urban sector in Assam."
7,14/01/26,7:06 PM,~ silpisikhagogoi76,Councillor,media+text,Community Programmes,"Photo + Bhogali Bihu greetings to all."
8,26/01/26,1:50 PM,Himanga Gogoi @ Jana,Janaagraha admin,media,CLDP Programme Engagement,"Shared a photo."
9,26/01/26,2:08 PM,~ Malabika Bora,Councillor,media+text,Community Programmes,"Happy Republic Day + photo."
10,10/02/26,2:50 PM,~ MATU MONI BORUAH,Councillor,text,CLDP Programme Engagement,"Sir, when will I get the certificates?"
11,10/02/26,2:50 PM,Chandrabhan Kakoty @ Jana Assam,Janaagraha admin,text,CLDP Programme Engagement,"By the end of this month I'll arrange them. They're ready; just haven't been able to send yet. Please don't call me Sir/Madam."
12,10/02/26,2:52 PM,~ MATU MONI BORUAH,Councillor,text,CLDP Programme Engagement,"OK, I hope you give them soon, brother."
13,02/03/26,11:57 AM,Shinjini @ Jana,Janaagraha admin,text,CLDP Programme Engagement,"Own Source Revenue (OSR) explainer: property tax, user charges, digital asset mapping, online payments."
14,02/03/26,11:58 AM,Shinjini @ Jana,Janaagraha admin,text,CLDP Programme Engagement,"POLL: Which strategy is most helpful for increasing ward revenue (OSR)?"
15,30/03/26,11:20 AM,Shinjini @ Jana,Janaagraha admin,media+text,CLDP Programme Engagement,"Thank-you message for attending the CLDP Leadership Meeting in Delhi + image."
16,17/04/26,11:20 AM,Shinjini @ Jana,Janaagraha admin,media+text,CLDP Programme Engagement,"AMRUT 2.0 scheme explainer (water security, councillor's role) + image."
17,01/06/26,12:04 PM,Aarushi,Janaagraha admin,text,CLDP Programme Engagement,"74th Amendment 33rd anniversary greeting to women leaders."
18,01/06/26,10:38 PM,~ Anima das,Councillor,text,CLDP Programme Engagement,"Thank you."
19,05/06/26,5:17 PM,Aarushi,Janaagraha admin,media,CLDP Programme Engagement,"Shared a photo."
